Y;X;Gray;Y;X;Blur
240;391;49;240;391;49
240;392;49;240;392;49
240;393;49;240;393;49
240;394;48;240;394;49
240;395;47;240;395;49
240;396;46;240;396;49
240;397;48;240;397;49
240;398;49;240;398;49
240;399;47;240;399;49
240;400;46;240;400;49
240;401;46;240;401;49
240;402;46;240;402;49
240;403;45;240;403;49
240;404;45;240;404;49
240;405;47;240;405;49
240;406;48;240;406;49
240;407;49;240;407;49
240;408;49;240;408;50
240;409;48;240;409;51
240;410;48;240;410;54
240;411;50;240;411;57
240;412;53;240;412;62
240;413;64;240;413;67
240;414;90;240;414;72
240;415;85;240;415;77
240;416;85;240;416;81
240;417;86;240;417;84
240;418;84;240;418;85
240;419;85;240;419;84
240;420;84;240;420;82
240;421;84;240;421;79
240;422;90;240;422;75
240;423;67;240;423;69
240;424;59;240;424;64
240;425;52;240;425;59
240;426;50;240;426;56
240;427;49;240;427;53
240;428;49;240;428;51
240;429;50;240;429;51
240;430;50;240;430;50
240;431;50;240;431;50
240;432;50;240;432;50
240;433;49;240;433;50
240;434;49;240;434;50
240;435;49;240;435;50
240;436;50;240;436;50
240;437;50;240;437;50
240;438;50;240;438;50
240;439;49;240;439;50
240;440;49;240;440;50
240;441;48;240;441;50
240;442;47;240;442;50
240;443;49;240;443;50
240;444;50;240;444;49
240;445;48;240;445;49
240;446;47;240;446;49
240;447;48;240;447;49
240;448;47;240;448;49
240;449;50;240;449;50
240;450;51;240;450;50
240;451;51;240;451;50
240;452;51;240;452;50
240;453;52;240;453;51
240;454;52;240;454;51
240;455;51;240;455;51
240;456;51;240;456;51
240;457;51;240;457;51
240;458;56;240;458;51
240;459;52;240;459;52
240;460;51;240;460;52
240;461;52;240;461;53
240;462;52;240;462;54
240;463;52;240;463;56
240;464;53;240;464;58
240;465;57;240;465;62
240;466;60;240;466;66
240;467;72;240;467;70
240;468;80;240;468;74
240;469;81;240;469;78
240;470;83;240;470;80
240;471;85;240;471;81
240;472;86;240;472;81
240;473;85;240;473;80
240;474;85;240;474;77
240;475;88;240;475;72
240;476;68;240;476;67
240;477;47;240;477;62
240;478;51;240;478;58
240;479;51;240;479;54
240;480;52;240;480;53
240;481;52;240;481;51
240;482;53;240;482;51
240;483;52;240;483;51
240;484;53;240;484;51
240;485;54;240;485;51
240;486;54;240;486;51
240;487;54;240;487;51
240;488;53;240;488;52
240;489;52;240;489;52
240;490;53;240;490;52
240;491;54;240;491;52
240;492;54;240;492;53
240;493;56;240;493;54
240;494;56;240;494;56
240;495;56;240;495;57
240;496;57;240;496;59
240;497;62;240;497;61
240;498;63;240;498;63
240;499;63;240;499;64
240;500;63;240;500;65
240;501;63;240;501;66
240;502;64;240;502;66
240;503;64;240;503;67
240;504;65;240;504;67
240;505;65;240;505;67
240;506;65;240;506;68
240;507;67;240;507;68
240;508;67;240;508;68
240;509;66;240;509;69
240;510;66;240;510;69
240;511;66;240;511;71
240;512;67;240;512;73
240;513;70;240;513;77
240;514;66;240;514;81
240;515;86;240;515;86
240;516;100;240;516;91
240;517;100;240;517;94
240;518;101;240;518;97
240;519;101;240;519;98
240;520;102;240;520;98
240;521;102;240;521;97
240;522;101;240;522;94
240;523;101;240;523;91
240;524;102;240;524;87
240;525;71;240;525;82
240;526;71;240;526;78
240;527;69;240;527;75
240;528;70;240;528;72
240;529;71;240;529;70
240;530;71;240;530;69
240;531;70;240;531;69
240;532;69;240;532;68
240;533;69;240;533;68
240;534;69;240;534;67
240;535;68;240;535;67
240;536;68;240;536;66
240;537;68;240;537;66
240;538;67;240;538;66
240;539;70;240;539;66
240;540;68;240;540;66
240;541;70;240;541;66
240;542;68;240;542;66
240;543;70;240;543;67
240;544;69;240;544;67
240;545;71;240;545;67
240;546;71;240;546;68
240;547;71;240;547;68
240;548;72;240;548;68
240;549;73;240;549;68
240;550;72;240;550;68
240;551;72;240;551;68
240;552;72;240;552;68
240;553;70;240;553;68
240;554;73;240;554;68
240;555;73;240;555;68
240;556;72;240;556;68
240;557;72;240;557;68
240;558;72;240;558;67
240;559;72;240;559;67
240;560;73;240;560;67
240;561;71;240;561;67
240;562;71;240;562;67
240;563;70;240;563;67
240;564;70;240;564;67
240;565;70;240;565;67
240;566;71;240;566;67
240;567;72;240;567;68
240;568;72;240;568;69
240;569;73;240;569;70
240;570;73;240;570;72
240;571;73;240;571;75
240;572;75;240;572;79
240;573;84;240;573;83
240;574;92;240;574;88
240;575;102;240;575;92
240;576;104;240;576;96
240;577;106;240;577;98
240;578;104;240;578;99
240;579;103;240;579;99
240;580;102;240;580;97
240;581;102;240;581;94
240;582;103;240;582;90
240;583;94;240;583;85
240;584;78;240;584;80
240;585;74;240;585;76
240;586;73;240;586;73
240;587;72;240;587;70
240;588;71;240;588;69
240;589;71;240;589;67
240;590;70;240;590;67
240;591;70;240;591;67
240;592;69;240;592;66
240;593;70;240;593;66
240;594;71;240;594;66
240;595;70;240;595;66
240;596;70;240;596;65
240;597;69;240;597;65
240;598;68;240;598;64
240;599;68;240;599;64
240;600;66;240;600;64
240;601;65;240;601;64
240;602;66;240;602;64
240;603;66;240;603;63
240;604;67;240;604;63
240;605;64;240;605;63
240;606;65;240;606;63
240;607;64;240;607;63
240;608;65;240;608;63
240;609;65;240;609;64
240;610;64;240;610;64
240;611;67;240;611;64
240;612;68;240;612;64
240;613;68;240;613;64
240;614;66;240;614;65
240;615;67;240;615;65
240;616;67;240;616;65
240;617;69;240;617;65
240;618;68;240;618;65
240;619;69;240;619;65
240;620;68;240;620;65
240;621;65;240;621;64
240;622;64;240;622;64
240;623;65;240;623;63
240;624;63;240;624;63
240;625;64;240;625;63
240;626;65;240;626;63
240;627;65;240;627;63
240;628;65;240;628;62
240;629;65;240;629;62
240;630;64;240;630;62
240;631;63;240;631;62
240;632;61;240;632;62
240;633;61;240;633;62
240;634;61;240;634;62
240;635;63;240;635;62
240;636;61;240;636;62
240;637;58;240;637;62
240;638;59;240;638;62
240;639;60;240;639;62
