Y;X;Gray
240;377;55
240;378;52
240;379;51
240;380;50
240;381;50
240;382;49
240;383;49
240;384;49
240;385;49
240;386;49
240;387;49
240;388;49
240;389;49
240;390;49
240;391;49
240;392;49
240;393;49
240;394;49
240;395;48
240;396;48
240;397;48
240;398;48
240;399;48
240;400;48
240;401;48
240;402;48
240;403;48
240;404;48
240;405;48
240;406;49
240;407;49
240;408;50
240;409;51
240;410;53
240;411;56
240;412;61
240;413;66
240;414;72
240;415;77
240;416;81
240;417;83
240;418;84
240;419;84
240;420;82
240;421;79
240;422;74
240;423;69
240;424;64
240;425;59
240;426;55
240;427;53
240;428;51
240;429;50
240;430;50
240;431;49
240;432;49
240;433;49
240;434;49
240;435;50
240;436;50
240;437;50
240;438;50
240;439;50
240;440;50
240;441;49
240;442;49
240;443;49
240;444;49
240;445;49
240;446;49
240;447;49
240;448;49
240;449;49
240;450;49
240;451;50
240;452;50
240;453;50
240;454;50
240;455;50
240;456;51
240;457;51
240;458;51
240;459;51
240;460;52
240;461;52
240;462;53
240;463;55
240;464;58
240;465;61
240;466;65
240;467;70
240;468;74
240;469;77
240;470;80
240;471;81
240;472;81
240;473;79
240;474;76
240;475;72
240;476;67
240;477;62
240;478;57
240;479;54
240;480;52
240;481;51
240;482;51
240;483;51
240;484;51
240;485;51
240;486;51
240;487;51
240;488;51
240;489;51
240;490;52
240;491;52
240;492;53
240;493;54
240;494;55
240;495;57
240;496;59
240;497;61
240;498;62
240;499;64
240;500;65
240;501;65
240;502;66
240;503;66
240;504;66
240;505;67
240;506;67
240;507;67
240;508;68
240;509;68
240;510;69
240;511;70
240;512;73
240;513;76
240;514;81
240;515;86
240;516;90
240;517;94
240;518;96
240;519;98
240;520;97
240;521;96
240;522;94
240;523;90
240;524;86
240;525;82
240;526;77
240;527;74
240;528;72
240;529;70
240;530;69
240;531;68
240;532;67
240;533;67
240;534;67
240;535;66
240;536;66
240;537;66
240;538;66
240;539;65
240;540;65
240;541;66
240;542;66
240;543;66
240;544;66
240;545;67
240;546;67
240;547;67
240;548;67
240;549;68
240;550;68
240;551;68
240;552;67
240;553;67
240;554;67
240;555;67
240;556;67
240;557;67
240;558;67
240;559;67
240;560;66
240;561;66
240;562;66
240;563;66
240;564;66
240;565;66
240;566;67
240;567;67
240;568;68
240;569;70
240;570;72
240;571;75
240;572;78
240;573;83
240;574;88
240;575;92
240;576;95
240;577;98
240;578;99
240;579;98
240;580;97
240;581;94
240;582;89
240;583;85
240;584;80
240;585;76
240;586;72
240;587;70
240;588;68
240;589;67
240;590;66
240;591;66
240;592;66
240;593;66
240;594;65
240;595;65
240;596;65
240;597;64
240;598;64
240;599;64
240;600;63
240;601;63
240;602;63
240;603;63
240;604;63
240;605;63
240;606;63
240;607;63
240;608;63
240;609;63
240;610;63
240;611;64
240;612;64
240;613;64
240;614;64
240;615;65
240;616;65
240;617;65
240;618;65
240;619;65
240;620;64
240;621;64
240;622;63
240;623;63
240;624;63
240;625;62
240;626;62
240;627;62
240;628;62
240;629;62
240;630;61
240;631;61
240;632;61
240;633;61
240;634;61
240;635;61
240;636;61
240;637;61
240;638;61
240;639;61
